class,data,tag,spe_tag,caption,label,pred
Rainy,Rainy\frame1.jpg,['man'],weather,a large jetliner taking off from a runway,0,-1
Rainy,Rainy\frame10.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,0,0
Rainy,Rainy\frame100.jpg,['car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,0,-1
Rainy,Rainy\frame1000.jpg,['rain | windshield | highway | road | car | drive | red'],weather,a view of a car windshield on a foggy day,0,0
Rainy,Rainy\frame10000.jpg,['fog | highway | road | picture | street | car | drive | foggy | white'],weather,a view of a foggy car's dashboard during the day,0,-1
Rainy,Rainy\frame1001.jpg,['rain | windshield | highway | mountain | road | car | drive | red | wet'],weather,a view of a car's dashboard on a foggy day,0,0
Rainy,Rainy\frame1002.jpg,['rain | traffic | highway | vehicle | road | car | drive | wet'],weather,a rainy day driving on a rainy day,0,0
Rainy,Rainy\frame1003.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive'],weather,a rainy day driving on a rainy day,0,0
Rainy,Rainy\frame1004.jpg,['highway | hand | vehicle | road | picture | street | car | person | drive | dark'],weather,a car's dashboard is shown in the dark,0,-1
Rainy,Rainy\frame1005.jpg,['rain | highway | road | car | drive'],weather,driving on a rainy day on a foggy day,0,0
Rainy,Rainy\frame1006.jpg,['rain | highway | van | vehicle | road | car | drive | wet'],weather,a view of a car's dashboard on a rainy day,0,0
Rainy,Rainy\frame1007.jpg,['rain | highway | van | vehicle | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,0,0
Rainy,Rainy\frame1008.jpg,['rain | highway | van | vehicle | road | car | drive | wet'],weather,a view of a foggy driving on a rainy day,0,0
Rainy,Rainy\frame1009.jpg,['rain | highway | van | vehicle | road | car | drive | wet'],weather,driving on a rainy day on a foggy day,0,0
Rainy,Rainy\frame101.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,0,-1
Rainy,Rainy\frame1010.jpg,['rain | highway | van | mountain | road | car | drive | wet'],weather,a foggy drive on a rainy day,0,0
Rainy,Rainy\frame1011.jpg,['rain | highway | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,0,0
Rainy,Rainy\frame1012.jpg,['rain | highway | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,0,0
Rainy,Rainy\frame1013.jpg,['rain | highway | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,0,0
Rainy,Rainy\frame1014.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive'],weather,a rainy day driving on a rainy day,0,0
Rainy,Rainy\frame1015.jpg,['rain | highway | road | car | drive | wet'],weather,a view of a foggy driving on a rainy day,0,0
Rainy,Rainy\frame1016.jpg,['traffic light | fog | rain | highway | road | car | drive | green'],weather,a view of a car's dashboard on a foggy day,0,0
Rainy,Rainy\frame1017.jpg,['traffic light | fog | rain | highway | road | car | drive | green | wet'],weather,a view of a foggy driving on a rainy day,0,0
