data,tag,spe_tag,caption,label,pred
D:/Weather conditions driving classification data (All)/images/Rainy\frame1.jpg,['man'],weather,a large jetliner taking off from a runway,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame10.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame100.jpg,['car | tunnel | drive | travel'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1000.jpg,['rain | windshield | highway | road | car | drive | red'],weather,a view of a car windshield on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame10000.jpg,['fog | highway | road | picture | street | car | drive | foggy | white'],weather,a view of a foggy car's dashboard during the day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1001.jpg,['rain | windshield | highway | mountain | road | car | drive | red | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1002.jpg,['rain | traffic | highway | vehicle | road | car | drive | wet'],weather,a rainy day driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1003.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive'],weather,a rainy day driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1004.jpg,['highway | hand | vehicle | road | picture | street | car | person | drive | dark'],weather,a car's dashboard is shown in the dark,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1005.jpg,['rain | highway | road | car | drive'],weather,driving on a rainy day on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1006.jpg,['rain | highway | van | vehicle | road | car | drive | wet'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1007.jpg,['rain | highway | van | vehicle | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1008.jpg,['rain | highway | van | vehicle | road | car | drive | wet'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1009.jpg,['rain | highway | van | vehicle | road | car | drive | wet'],weather,driving on a rainy day on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame101.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1010.jpg,['rain | highway | van | mountain | road | car | drive | wet'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1011.jpg,['rain | highway | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1012.jpg,['rain | highway | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1013.jpg,['rain | highway | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1014.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive'],weather,a rainy day driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1015.jpg,['rain | highway | road | car | drive | wet'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1016.jpg,['traffic light | fog | rain | highway | road | car | drive | green'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1017.jpg,['traffic light | fog | rain | highway | road | car | drive | green | wet'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1018.jpg,['fog | rain | highway | mountain | road | car | truck | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1019.jpg,['fog | rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame102.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1020.jpg,['rain | traffic | highway | road | car | drive | wet'],weather,the view of a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1021.jpg,['rain | traffic | highway | freeway | mountain | road | car | truck | drive | wet'],weather,the view of a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1022.jpg,['rain | traffic | highway | freeway | mountain | road | car | truck | drive | wet'],weather,the view of a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1023.jpg,['rain | traffic | highway | freeway | mountain | road | car | drive'],weather,the view of a foggy country road on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1024.jpg,['rain | highway | freeway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1025.jpg,['rain | traffic | highway | vehicle | road | car | truck | drive | wet'],weather,a rainy day driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1026.jpg,['fog | rain | highway | mountain | road | car | truck | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1027.jpg,['rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1028.jpg,['rain | highway | mountain | road | car | drive | white | wet'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1029.jpg,['rain | highway | mountain | road | car | drive'],weather,a foggy drive on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame103.jpg,['rain | traffic | highway | vehicle | bus | road | street | car | drive | wet'],weather,a view of a rainy day on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1030.jpg,['rain | highway | mountain | road | car | drive | white | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1031.jpg,['rain | highway | freeway | mountain | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1032.jpg,['rain | highway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1033.jpg,['rain | highway | freeway | mountain | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1034.jpg,['fog | rain | windshield | highway | freeway | vehicle | road | car | drive'],weather,a view of a car's dashboard during a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1035.jpg,['rain | windshield | highway | mountain | road | car | drive | wet'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1036.jpg,['rain | traffic | highway | freeway | vehicle | road | car | lane | truck | drive'],weather,a rainy day on the interstate,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1037.jpg,['rain | highway | freeway | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1038.jpg,['rain | highway | freeway | mountain | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1039.jpg,['rain | highway | freeway | mountain | road | car | truck | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame104.jpg,['car | tunnel | drive'],weather,a view of the inside of a subway tunnel,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1040.jpg,['fog | rain | highway | freeway | mountain | road | car | drive'],weather,a view of a car's dashboard on a foggy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1041.jpg,['fog | rain | highway | freeway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1042.jpg,['fog | rain | highway | freeway | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1043.jpg,['fog | rain | highway | freeway | mountain | road | car | drive'],weather,a view of a foggy driving on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1044.jpg,['rain | highway | vehicle | mountain | road | car | drive'],weather,a view of a car's dashboard on a rainy day,Rainy,1
D:/Weather conditions driving classification data (All)/images/Rainy\frame1045.jpg,['rain | highway | road | car | drive'],weather,a view of a car's dashboard through a windshield wiper,Rainy,0
D:/Weather conditions driving classification data (All)/images/Rainy\frame1046.jpg,['rain | traffic | highway | vehicle | road | car | drive | wet'],weather,the view of a rainy day driving on a country road,Rainy,1
